,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
19940801,13104,13227,13042,13104,25708
19940730,12918,13166,12918,13042,45252
19940729,12547,12856,12547,12856,131176
19940728,13166,13475,13166,13166,220142
19940727,13969,14031,13784,13784,74583
19940726,14093,14154,13784,13784,42485
19940725,13907,14216,13907,13969,40657
19940723,13907,14278,13907,14278,72140
19940722,13907,13969,13907,13907,53001
19940721,14216,14216,13907,13907,29267
19940720,14093,14340,14093,14216,165831
19940719,14154,14278,13969,13969,165588
19940718,14154,14464,14154,14278,107976
19940716,14464,14587,14216,14402,112393
19940715,14464,14834,14340,14340,428070
19940714,14278,14525,14093,14464,175991
19940713,14278,14464,14216,14216,219867
19940712,14216,14464,13969,14278,270959
19940711,13784,14216,13784,14216,111099
19940709,14216,14340,14093,14340,61349
19940708,14216,14278,14093,14216,110241
19940707,14216,14216,14093,14216,138424
19940706,14525,14525,14031,14216,125190
19940705,14216,14525,14216,14340,234833
19940704,14093,14525,14093,14216,67869
19940702,13907,14154,13907,14093,64488
19940701,14216,14216,13845,13845,35658
19940630,14093,14216,13969,14031,145235
19940629,13969,14216,13784,14216,23621
19940628,14216,14216,13907,13907,80278
19940627,14031,14216,13969,14093,53826
19940625,13969,14093,13907,13969,57434
19940624,14464,14464,14093,14154,96570
19940623,14525,14834,14402,14525,177172
19940622,14587,14834,14464,14464,273046
19940621,14834,14834,14402,14464,135383
19940620,15329,15329,14711,14834,869536
19940618,14216,14834,14093,14773,320078
19940617,14402,14464,14216,14216,321954
19940616,14216,14525,14031,14154,506293
19940615,14278,14402,13784,14031,346902
19940614,13969,14525,13722,14216,760055
19940613,13475,13969,13475,13969,346044
19940611,13289,13598,13289,13351,59003
19940610,13660,13784,13413,13598,56771
19940609,13289,13598,13104,13598,117004
19940608,13166,13289,13104,13104,39864
19940607,13227,13351,13166,13166,25530
19940604,13660,13722,13598,13598,68856
19940603,13784,14093,13784,13845,26015
19940602,13969,14093,13660,14093,42097
19940601,14340,14402,13907,13969,66931
19940531,14031,14340,14031,14340,62514
19940530,14093,14340,14093,14340,183951
19940528,14402,14587,14093,14340,78822
19940527,14154,14649,14031,14340,521275
19940526,13907,14216,13845,14031,117699
19940525,13845,13907,13660,13722,70717
19940524,13845,14031,13722,13784,71736
19940523,14216,14216,13845,13845,60314
19940521,14031,14093,13907,14093,55023
19940520,14154,14216,13907,14031,38117
19940519,14216,14216,14031,14154,118508
19940517,13907,14154,13907,14031,85099
19940516,14216,14340,14031,14031,108785
19940514,14525,14525,14278,14278,140997
19940513,14216,14525,14216,14525,322747
19940512,14216,14340,14031,14278,198463
19940511,14154,14278,13969,14216,245235
19940510,13907,14278,13907,14093,224462
19940509,13722,13907,13722,13722,149814
19940507,13784,13907,13475,13722,65895
19940506,13784,13969,13598,13784,122035
19940504,13722,14093,13722,13784,499628
19940503,13475,13784,13413,13475,401035
19940502,12795,13351,12795,13289,216793
19940430,12486,12795,12486,12795,120385
19940429,12795,13104,12300,12362,182527
19940428,12918,12918,12609,12733,143100
19940427,12609,12918,12547,12918,278968
19940426,12671,12671,12486,12486,44087
19940425,12733,12918,12609,12671,60815
19940423,12424,13104,12424,12856,51901
19940422,12980,12980,12918,12980,77997
19940421,12980,13166,12918,12918,87995
19940420,13289,13289,12856,12980,63808
19940419,13166,13351,13042,13104,122132
19940418,12980,13166,12980,13042,101149
19940416,12980,13227,12795,12980,61592
19940415,12795,13227,12795,12980,143375
19940414,12980,12980,12733,12795,123006
19940413,13227,13227,12856,12980,108235
19940412,12980,13227,12733,12733,155104
19940411,13475,13598,12918,12918,173046
19940409,12856,13351,12856,13227,40463
19940408,12980,13289,12918,13227,65313
19940407,13166,13227,12980,13166,56755
19940406,13536,13536,13166,13166,145413
19940404,13289,13598,13227,13598,196408
19940402,13351,13475,13227,13413,107458
19940401,13227,13475,13227,13351,170523
19940331,13289,13475,12980,13227,258664
19940330,13042,13351,12918,13104,148050
19940329,12918,13289,12856,13042,210468
19940328,12980,13042,12733,12733,160314
19940326,12362,12733,12362,12733,75295
19940325,12362,12424,12177,12238,46643
19940324,12424,12486,12300,12362,88448
19940323,12547,12671,12424,12424,91522
19940322,12733,12733,12547,12547,55735
19940321,12795,12980,12609,12733,96036
19940319,12733,12856,12733,12795,36337
19940318,12547,12856,12547,12733,69342
19940317,12547,12733,12486,12547,88934
19940316,12733,12733,12547,12547,69795
19940315,12856,12918,12547,12733,52192
19940314,12856,12980,12671,12795,119463
19940312,12795,12856,12609,12795,128038
19940311,12980,12980,12547,12856,97751
19940310,12362,12795,12115,12362,79647
19940309,12856,12856,12238,12300,58227
19940308,13104,13289,12733,12856,43391
19940307,13475,13660,13289,13289,88400
19940305,13166,13784,13104,13784,83854
19940304,12980,13227,12980,13166,64083
19940303,12980,13289,12980,13104,78774
19940302,13475,13536,13289,13289,42032
19940228,13289,13722,12980,13722,175279
19940226,13289,13598,13289,13413,62174
19940225,13413,13598,13289,13289,115726
19940224,13784,13845,13413,13413,151108
19940223,14216,14402,13722,13784,158777
19940222,14649,14711,14216,14216,128927
19940221,14773,14834,14402,14587,187203
19940219,14649,14649,14340,14464,136515
19940218,14216,14711,14154,14649,532794
19940217,14587,14711,14154,14154,193415
19940216,14525,14773,14278,14587,194062
19940215,14402,14525,14093,14216,80359
19940214,14773,14958,14402,14402,112118
19940212,14649,15082,14649,14958,135803
19940208,15267,15514,15143,15143,343197
19940207,14896,15638,14773,15267,595017
19940205,15762,16071,14834,15082,722149
19940204,15143,15453,14587,15453,684501
19940203,15143,15762,15143,15143,453244
19940202,15638,15762,15267,15762,1380052
19940201,14216,15143,14216,15143,516470
19940131,14958,15143,14402,14525,417505
19940129,14340,14958,14154,14773,301294
19940128,15267,15267,14340,14402,662482
19940127,14773,15267,14649,14958,989953
19940126,14834,14958,14402,14649,401537
19940125,15762,15762,14711,14711,695179
19940124,14278,15205,14278,15205,916114
19940122,14649,14834,14216,14587,340932
19940121,15020,15453,14402,14649,1703171
19940120,14834,14834,14464,14834,1558939
19940119,14154,14216,13907,14216,345802
19940118,13289,13598,13104,13598,361657
19940117,13289,13413,12980,12980,134250
19940115,13289,13536,12980,12980,58599
19940114,13722,13784,13289,13289,138990
19940113,13722,14278,13722,13907,310193
19940112,14093,14154,13722,13722,216065
19940111,14402,14402,13907,13907,210759
19940110,14093,14587,14031,14402,757272
19940108,13598,14154,13598,13969,390325
19940107,13413,13907,13351,13536,242598
19940106,13475,13536,13351,13351,149248
19940105,13536,13598,13351,13413,105387
19940104,13598,13969,13475,13475,138505
19940103,13475,13907,13475,13845,111001
19931228,13289,13845,13289,13845,184727
19931227,14093,14340,13598,13907,113234
19931224,13969,14216,13845,14093,190406
19931223,13969,14154,13845,13969,347711
19931222,13227,13660,12980,13660,381281
19931221,12856,13104,12795,13042,168678
19931220,13166,13351,12733,12733,71024
19931218,13598,13598,13351,13351,36370
19931217,13784,13969,13598,13598,76929
19931216,14464,14464,13907,14031,105485
19931215,13598,14340,13598,14278,249992
19931214,13722,14031,13722,13845,62757
19931213,14402,14402,13907,13907,131111
19931211,14711,14711,14154,14525,287704
19931210,13660,14093,13598,14093,226501
19931209,13536,13784,13289,13475,152225
19931208,13351,13845,13289,13289,179680
19931207,13598,13660,13351,13351,70506
19931206,14031,14216,13598,13598,85180
19931204,13784,14216,13784,13907,80958
19931203,13475,13784,13475,13784,57305
19931202,13660,13845,13598,13598,46416
19931201,14154,14154,13722,13722,54991
19931130,13784,14340,13660,14154,135965
19931129,13722,14031,13660,13722,50267
