,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20170413,100242,102846,99375,102412,46785
20170412,101978,101978,98507,100242,34073
20170411,100242,101978,98941,101110,42845
20170410,100242,102412,97639,100676,69393
20170407,101544,103714,99809,100242,91508
20170406,100676,100676,98507,100676,43548
20170405,101544,101978,99375,100242,70239
20170404,101110,101544,99809,100676,90554
20170403,97639,100676,96771,100676,183148
20170331,95035,98073,95035,95903,52512
20170330,95469,96337,94167,94601,29155
20170329,95035,96771,93299,95903,61372
20170328,96337,96771,93733,95469,42211
20170327,93299,97639,93299,95469,134544
20170324,90696,94167,90262,93733,75188
20170323,91997,91997,89394,89828,25816
20170322,88960,91563,88960,90696,42234
20170321,88960,90262,88526,89828,42915
20170320,89828,89828,86790,88526,68016
20170317,89394,90696,88960,89828,49062
20170316,89828,90696,88960,90262,55149
20170315,92431,92865,88526,88960,103405
20170314,94167,94601,91130,91997,77745
20170313,95035,95903,94167,94601,21590
20170310,92865,95469,91997,95035,63126
20170309,93299,94167,92431,92865,46369
20170308,94601,96337,92865,93299,43455
20170307,95469,95903,93299,95035,35986
20170306,92865,96771,91130,95469,117106
20170303,93733,95035,91563,92865,47176
20170302,95903,96337,93733,93733,48108
20170228,98073,98941,94601,95035,76769
20170227,99375,100242,97205,97639,66349
20170224,97205,99375,95903,98941,120762
20170223,94601,97205,94167,96771,76510
20170222,93733,95903,92431,94167,75493
20170221,93733,95469,91997,93299,88508
20170220,96771,96771,92865,93733,95077
20170217,91130,98507,91130,96771,249711
20170216,92431,92865,90696,91997,64588
20170215,88092,92431,87658,92431,105226
20170214,90262,90262,87224,88092,48949
20170213,89394,90696,87658,89394,44983
20170210,90262,90696,87658,88526,57146
20170209,91563,91997,88960,89394,36290
20170208,90696,92431,89394,91563,66110
20170207,90696,92865,89828,91130,85856
20170206,88526,91130,86790,90262,122871
20170203,86703,88526,85401,87658,64430
20170202,86790,87224,85922,86356,34532
20170201,85401,88092,85401,87224,50343
20170131,84881,86096,84447,85054,30294
20170126,85575,86182,84273,84881,30601
20170125,86616,87224,84447,85401,48485
20170124,86790,86790,85488,86269,39299
20170123,90262,90696,86790,86790,57077
20170120,88526,91130,88092,90262,60938
20170119,89828,90262,88960,88960,38831
20170118,88526,89828,88526,88960,34336
20170117,88960,89828,88526,89394,43326
20170116,88526,89394,87658,88960,60956
20170113,85922,88960,85662,87658,75720
20170112,87224,87224,85141,85401,110576
20170111,88526,88960,87224,87658,55135
20170110,88092,89394,86790,88526,54194
20170109,89828,89828,86790,86790,58420
20170106,91563,91563,88526,89828,51693
20170105,88092,91130,87658,90696,95056
20170104,87224,88526,86616,87658,94059
20170103,88092,89394,85749,86443,115506
20170102,90696,91130,87224,87658,71696
20161229,91563,92431,90262,90696,51567
20161228,92865,93733,91563,92865,60431
20161227,93733,94167,91997,92865,45086
20161226,90696,93733,90696,92865,87750
20161223,88526,91997,86790,89828,61316
20161222,90262,90696,87658,88092,37045
20161221,90696,90696,88526,90262,34802
20161220,88960,91130,87658,89394,46235
20161219,90696,91563,88092,88092,26856
20161216,91563,91997,89828,90696,49935
20161215,89828,91997,89394,91563,64664
20161214,91130,91997,88960,91130,87098
20161213,82884,90696,82624,90262,185947
20161212,82277,83145,80715,82798,78669
20161209,80107,82103,80107,81149,53574
20161208,81409,81930,79760,80454,61135
20161207,83405,83405,79413,80975,79362
20161206,82190,85054,82190,83232,34528
20161205,82017,82884,80975,82190,31323
20161202,83058,83839,81756,82971,38106
20161201,86182,86182,82884,83058,58298
20161130,85141,86182,84360,86182,32870
20161129,82451,86356,82017,84707,48383
20161128,84186,84533,82884,83145,30873
20161125,83145,84794,82711,84186,51024
20161124,82971,84360,81583,83145,43571
20161123,85922,85922,83058,83058,64199
20161122,88092,88960,85315,86182,54256
20161121,87658,88960,86530,88092,47988
20161118,91563,91997,88092,88526,78362
20161117,91563,93733,90262,91997,57276
20161116,90262,93733,88960,92865,112723
20161115,91130,91130,88092,89828,59906
20161114,91997,91997,88960,90696,91270
20161111,89828,93733,88092,90696,111220
20161110,83318,90262,83232,89828,224604
20161109,82971,83145,77243,80194,88583
20161108,83492,83492,81583,82624,43671
20161107,83926,84186,81756,82537,32128
20161104,81930,83145,80801,82537,41284
20161103,79847,82624,78805,82277,65377
20161102,83405,83666,79239,79413,79872
20161101,80281,84620,80020,83145,114381
20161031,78024,80975,76028,80454,106755
20161028,82017,82451,78545,78632,77986
20161027,79934,82711,79326,82277,50401
20161026,79847,81149,78892,80020,41694
20161025,80975,81843,78892,80454,44149
20161024,82711,83492,81235,81843,35846
20161021,81583,82884,80715,81930,48351
20161020,82711,83145,81235,81583,30289
20161019,82884,83752,81930,82017,37310
20161018,81149,83232,80888,82884,25892
20161017,82103,82711,80628,81583,39763
20161014,82711,83926,81930,82103,29067
20161013,84186,84360,82190,82190,38682
20161012,83579,86269,83579,84100,48010
20161011,85662,85662,82971,83579,47367
20161010,82884,86703,82537,84447,68385
20161007,85054,85141,82017,82017,58531
20161006,84360,85662,84013,84447,41032
