,STARTING_PRICE,HIGH_PRICE,LOW_PRICE,CLOSING_PRICE,TRADING_VOLUME
20171011,10450,10650,10450,10500,53860
20171010,10650,10750,10400,10400,98740
20170929,10500,10750,10450,10650,63747
20170928,10550,10800,10300,10500,85568
20170927,10700,10900,10550,10550,107028
20170926,10550,10800,10500,10600,158616
20170925,11400,11600,10600,10700,251778
20170922,11950,12050,11500,11550,137528
20170921,12300,12300,11900,11950,142309
20170920,12400,12950,12250,12300,288498
20170919,12700,12700,12150,12550,261015
20170918,12900,12900,12400,12600,327766
20170915,11400,13500,11400,12700,1587301
20170914,11350,11500,11250,11350,67403
20170913,11400,11400,11100,11250,64806
20170912,11500,11550,11250,11300,53192
20170911,11500,11650,11300,11500,49377
20170908,11700,11750,11500,11500,28628
20170907,11500,11800,11500,11700,49231
20170906,11250,11500,11250,11500,52343
20170905,11700,11700,11100,11200,145301
20170904,11500,11750,11450,11600,36848
20170901,11700,11900,11600,11850,57795
20170831,11700,11750,11550,11600,69282
20170830,11900,12000,11600,11700,75867
20170829,11750,11900,11550,11900,72508
20170828,11800,11900,11600,11850,42017
20170825,11650,11950,11550,11800,69912
20170824,11300,11650,11300,11650,72310
20170823,11400,11550,11250,11350,58430
20170822,11100,11450,11100,11300,71888
20170821,11400,11500,11100,11100,58746
20170818,11200,11400,11150,11400,47810
20170817,11250,11500,11150,11400,86639
20170816,11150,11400,11100,11250,74867
20170814,11500,11700,11000,11100,103034
20170811,11550,11700,11300,11500,147816
20170810,12050,12250,11650,11850,137021
20170809,12150,12200,12050,12150,42866
20170808,12250,12400,12150,12250,54079
20170807,12000,12300,12000,12200,75760
20170804,11800,12200,11750,12000,94523
20170803,12100,12150,11700,11800,95776
20170802,12300,12350,12050,12100,58708
20170801,12050,12500,12050,12400,84141
20170731,12150,12350,11900,12050,91970
20170728,12500,12600,12150,12200,84741
20170727,12800,12800,12400,12550,74562
20170726,12600,12850,12600,12650,63891
20170725,12950,13100,12550,12600,113938
20170724,13200,13300,12900,12950,60741
20170721,13200,13300,13000,13300,57130
20170720,12900,13300,12700,13200,88224
20170719,12600,13000,12450,12900,114027
20170718,13100,13150,12500,12600,194046
20170717,13300,13350,12950,13000,100404
20170714,13650,13650,13200,13400,57256
20170713,13700,13700,13300,13650,63222
